,return_annual_pct,ai_intensity,op_margin,net_margin,rd_intensity,tech_debt_proxy,ai_usage_pct
count,437.0,437.0,259.0,259.0,212.0,180.0,195.0
mean,30.585,9.677,-31.596,-56.341,84.725,47.389,58.0
std,76.648,23.792,264.282,584.892,617.514,104.938,10.224
min,-89.052,0.0,-3038.47,-8716.852,4.906,3.516,44.0
25%,-14.993,0.0,-12.049,-15.633,14.655,23.41,44.0
50%,20.612,0.051,12.296,9.598,19.783,30.158,62.0
75%,61.133,0.179,24.797,19.997,32.745,48.875,68.0
max,853.846,96.895,167.433,354.56,8673.657,1350.911,68.0
