Variable,M1,M2,M3
AI Intensity,0.286  (0.232),0.664*  (0.347),0.224  (0.484)
Tech Debt (wins.p95),—,-0.807  (0.543),-0.262  (0.748)
log(Revenues),—,-16.535  (12.471),16.256  (20.030)
